DatosVeterinaria,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Fecha del servicio,Nombre cliente,Animal,Raza mascota,Nombre paciente,Esterilizado?,Servicio recibido,Monto pagado,Medico Veterinario que atendió,Diagnóstico,Tratamiento
4/5/2024,Shannon Copeland,Perro,PowderBlue,Alyssa,Sí­,Esterilizaci@Ñn,84196,Dr. Simmons,Infección urinaria,Rehabilitación
8/31/2024,Laura Scott,Perro,Wheat,Amy,Sí­,Emergencia,130604,Dr. Conley,Gastroenteritis,Antibióticos
6/28/2024,Dr. Kimberly Larson,Gato,GoldenRod,Christopher,Sí­,Emergencia,177815,Dr. Conley,Desnutrición,Cirugía menor
4/28/2024,David Fletcher,Ave,Automated homogeneous success,Sergio,No,Vacunaci@Ñn,137757,Dr. Price,Otitis,Antibióticos
4/25/2024,Steven Gonzalez,Gato,LightYellow,Bridget,No,Esterilizaci@Ñn,92842,Dr. Simmons,Infección urinaria,Vitaminas
4/3/2024,Brandon Myers,Perro,Purple,Donna,Sí­,Control de peso,45353,Dr. Mullins,Otitis,Vendaje
5/6/2024,Jerry Johnson,Conejo,Azure,Holly,Sí­,Control de peso,160568,Dr. Conley,Fractura,Antibióticos
1/11/2024,Christine Perry,Ave,Open-architected composite open system,Alexis,No,Emergencia,114800,Dr. Price,Infección urinaria,Rehabilitación
10/19/2024,Sierra Miller,Perro,LightSteelBlue,Yvonne,Sí­,Vacunaci@Ñn,95861,Dr. Conley,Infección urinaria,Antibióticos
10/3/2024,Laura Kidd,Hámster,Tomato,Patricia,No,Control de peso,186640,Dr. Mullins,Infección urinaria,Vitaminas
4/29/2024,Scott Smith,Conejo,OldLace,Jennifer,Sí­,Esterilizaci@Ñn,199187,Dr. Conley,Desnutrición,Rehabilitación
5/29/2024,Michelle Richardson,Gato,PapayaWhip,Jennifer,Sí­,Vacunaci@Ñn,141178,Dr. Harvey,Otitis,Rehabilitación
5/9/2024,Lisa Garcia,Ave,Configurable regional knowledgebase,Amy,Sí­,Esterilizaci@Ñn,34663,Dr. Simmons,Gastroenteritis,Vitaminas
3/7/2024,Allison Skinner,Hámster,PaleGoldenRod,Mary,No,Consulta general,75307,Dr. Price,Anemia,Vitaminas
1/6/2024,Sandy Campbell,Gato,Silver,Jo,No,Control de peso,188519,Dr. Harvey,Infección urinaria,Vitaminas
9/15/2024,John Petersen,Gato,PaleGoldenRod,Elizabeth,Sí­,Emergencia,161289,Dr. Mullins,Anemia,Vendaje
5/28/2024,Brooke Allen,Hámster,MediumPurple,Kristina,No,Esterilizaci@Ñn,77493,Dr. Simmons,Desnutrición,Cambio de dieta
7/12/2024,Carrie Krueger,Perro,YellowGreen,Robert,Sí­,Consulta general,60066,Dr. Simmons,Anemia,Cambio de dieta
